# system_id	libretro_playlist	libretro_dat_path
nes	Nintendo - Nintendo Entertainment System	metadat/no-intro/Nintendo - Nintendo Entertainment System.dat
fds	Nintendo - Family Computer Disk System	metadat/no-intro/Nintendo - Family Computer Disk System.dat
sfc	Nintendo - Super Nintendo Entertainment System	metadat/no-intro/Nintendo - Super Nintendo Entertainment System.dat
gb	Nintendo - Game Boy	metadat/no-intro/Nintendo - Game Boy.dat
gbc	Nintendo - Game Boy Color	metadat/no-intro/Nintendo - Game Boy Color.dat
gba	Nintendo - Game Boy Advance	metadat/no-intro/Nintendo - Game Boy Advance.dat
megadrive	Sega - Mega Drive - Genesis	metadat/no-intro/Sega - Mega Drive - Genesis.dat
mastersystem	Sega - Master System - Mark III	metadat/no-intro/Sega - Master System - Mark III.dat
gamegear	Sega - Game Gear	metadat/no-intro/Sega - Game Gear.dat
sega32x	Sega - 32X	metadat/no-intro/Sega - 32X.dat
pcengine	NEC - PC Engine - TurboGrafx 16	metadat/no-intro/NEC - PC Engine - TurboGrafx 16.dat
n64	Nintendo - Nintendo 64	metadat/no-intro/Nintendo - Nintendo 64.dat
ngp	SNK - Neo Geo Pocket	metadat/no-intro/SNK - Neo Geo Pocket.dat
ngpc	SNK - Neo Geo Pocket Color	metadat/no-intro/SNK - Neo Geo Pocket Color.dat
wonderswan	Bandai - WonderSwan	metadat/no-intro/Bandai - WonderSwan.dat
wonderswancolor	Bandai - WonderSwan Color	metadat/no-intro/Bandai - WonderSwan Color.dat
msx	Microsoft - MSX	metadat/no-intro/Microsoft - MSX.dat
supergrafx	NEC - PC Engine SuperGrafx	metadat/no-intro/NEC - PC Engine SuperGrafx.dat
lynx	Atari - Lynx	metadat/no-intro/Atari - Lynx.dat
virtualboy	Nintendo - Virtual Boy	metadat/no-intro/Nintendo - Virtual Boy.dat
atari2600	Atari - 2600	metadat/no-intro/Atari - 2600.dat
atari7800	Atari - 7800	metadat/no-intro/Atari - 7800.dat
vectrex	GCE - Vectrex	metadat/no-intro/GCE - Vectrex.dat
supervision	Watara - Supervision	metadat/no-intro/Watara - Supervision.dat
odyssey2	Magnavox - Odyssey2	metadat/no-intro/Magnavox - Odyssey2.dat
pokemini	Nintendo - Pokemon Mini	metadat/no-intro/Nintendo - Pokemon Mini.dat
atari5200	Atari - 5200	metadat/no-intro/Atari - 5200.dat
channelf	Fairchild - Channel F	metadat/no-intro/Fairchild - Channel F.dat
colecovision	Coleco - ColecoVision	metadat/no-intro/Coleco - ColecoVision.dat
intellivision	Mattel - Intellivision	metadat/no-intro/Mattel - Intellivision.dat
jaguar	Atari - Jaguar	metadat/no-intro/Atari - Jaguar.dat
sg1000	Sega - SG-1000	metadat/no-intro/Sega - SG-1000.dat
